K_CH4,K_CO2,K_N2O,K_O2,site,date,datetime,group,CH4.ugL,CO2.ugL,N2O.ugL,CH4.sat,CO2.sat,N2O.sat,pH,level_m.inst,discharge.inst,depth.inst,watertemp_C.inst,DO.obs.inst,DO.sat.inst,spc_uScm.inst,airtemp_C.inst,airpres_kPa.inst,latitude,longitude,CRS,distance_upstream_m,width_march_m,ws_area_km2,slope_nhd,habitat,cl_mgl,so4_mgl,br_mgl,no3n_mgl,na_mgl,k_mgl,mg_mgl,ca_mgl,doc_mgl,tdn_mgl,nh4n_mgl,po4p_mgl,GPP,GPP.lower,GPP.upper,ER,ER.lower,ER.upper,K600,K600_2.5,K600_97.5,depth,spc_uScm,DO.obs,DO.sat,watertemp_C,discharge,airpres_kPa,airtemp_C,CH4.flux_ugld,CO2.flux_ugld,N2O.flux_ugld,O2.flux_ugld
4.749359475,4.744412799,4.593327954,5.173068493,NHC,11/11/2019,2019-11-11T19:45:00Z,11/11/2019,9.598706763,4234.538944,0.460510715,9.59E-04,18.79675828,0.008183587,NaN,0.892705204,0.214617157,0.361770424,8.24,10.06,11.72796504,132,20.6,100.7266231,35.9795,-79.0018,WGS84,0,10,81.06622487,0.00443447,run,8.278295807,8.047310712,NA,0.048003512,NA,NA,NA,NA,3.275,0.1147,0.005,0.0117,0.308695332,0,0.612644905,4.105855456,6.629920602,1.667310998,6.875625255,2.606234258,11.12173776,0.36411573,131.625,9.709166667,11.7437556,8.262083333,0.228109035,101.0066354,12.89010417,45.58315492,20001.22118,2.077686839,-10525.06791
5.051720568,5.045578247,4.882988819,5.503357072,CBP,11/11/2019,2019-11-11T18:30:00Z,11/11/2019,7.649221781,4300.855053,0.607127609,9.59E-04,18.79675828,0.008183587,NaN,0.532229903,0.283195063,0.307864887,8.05033,10.57,11.79589213,99,20,100.7152996,35.98549,-79.022675,WGS84,3450,18.3,66.04436851,0.00980557,pool,12.5150844,13.00590552,NA,0.044629105,NA,NA,NA,NA,3.876,0.1392,0.005,0.00721,0.159131273,0,0.552446943,2.47216794,3.291344089,1.638203871,7.353301999,5.944548954,8.678895478,0.311639444,99.18645833,10.37041667,11.7734162,8.168920208,0.298252304,101.0066354,12.89010417,38.63688709,21605.46019,2.924636963,-7721.207384
1.129271271,1.128870904,1.094551369,1.229447922,WB,11/11/2019,2019-11-11T17:45:00Z,11/11/2019,3.854542546,5075.668239,0.58778253,9.59E-04,18.79675828,0.008183587,NaN,0.667681782,0.294974503,0.519062917,8.98667,8.83,11.54212446,99.4,18.85,100.7164707,35.993014,-79.034349,WGS84,5950,10,61.64141061,0.00223296,run,9.28627987,12.55795999,NA,0.062500965,NA,NA,NA,NA,4.698,0.1713,0.005,0.00466,0.826851597,0.378956502,1.279525387,2.503560336,4.500957131,0.881682515,1.600313694,0.096734678,3.441804806,0.524983505,101.05625,8.962395833,11.37193235,9.627642396,0.318811539,101.0066354,12.89010417,4.351741345,5708.555078,0.634400816,-2962.399664
2.007049989,2.007468982,1.948683648,2.184847118,WBP,11/11/2019,2019-11-11T18:00:00Z,11/11/2019,20.4832645,7117.406145,0.436616859,9.59E-04,18.79675828,0.008183587,NaN,0.893879388,0.300023453,0.506766467,9.599,6.78,11.37033462,91.8,19.4,100.6651418,35.994973,-79.033925,WGS84,6120,15.6,61.38241308,0.00223296,pool,9.537200948,12.33627478,NA,0.021508166,NA,NA,NA,NA,4.921,0.17,0.005,0.00569,0.623561001,0,1.585135244,5.835497115,10.07173177,1.871104906,2.795237628,0.854211921,4.91456384,0.511174614,90.61770833,6.862083333,11.4522344,9.308112396,0.320020905,101.0066354,12.89010417,41.1090113,14250.23816,0.834880911,-10028.77832
5.803954731,5.798229867,5.614276245,6.32143124,UNHC,11/11/2019,2019-11-11T19:00:00Z,11/11/2019,14.13018955,5302.483838,0.663206562,9.59E-04,18.79675828,0.008183587,NaN,NA,0.32022488,0.313249394,8.3,7.74,11.71789807,144.9,20.6,100.5344867,35.9925,-79.046,WGS84,8450,13.8,58.01544528,0.00252147,run,10.94690444,11.72112953,NA,0.181355084,NA,NA,NA,NA,2.895,0.2587,0.005,0.00578,0.087939405,0,0.556551619,8.483728213,13.17726689,4.018324797,8.387907593,3.87127041,12.95708551,0.315787089,144.9,7.85875,11.72821772,8.322291667,0.335742673,101.0066354,12.89010417,82.00541529,30636.03223,3.677479929,-24460.57413
NA,NA,NA,NA,MC751,11/11/2019,2019-11-11T20:15:00Z,11/11/2019,91.71975176,12176.63261,0.271002033,9.59E-04,18.79675828,0.008183587,NaN,NA,NA,NA,9,4.83,11.55502392,154.8,20.45,100.6068076,36.0087,-78.9683,WGS84,NA,4,3.574165825,0.00891752,pool,13.3215945,7.729963971,NA,0.032881168,NA,NA,NA,NA,4.666,0.1516,0.005,0.00652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154.8,4.83,11.55502392,9,NaN,NA,NA,NA,NA,NA,NA
4.542443717,4.541975787,4.406194341,4.945000833,NHC,11/20/2019,2019-11-20T19:15:00Z,11/20/2019,4.137478103,2421.795301,0.098125247,9.30E-04,18.12647616,0.007859586,7.07,1.03,0.623508976,0.405669464,9.26,10.41,11.47140213,129,15.6,101.0212702,35.9795,-79.0018,WGS84,0,10,81.06622487,0.00443447,run,10.58106995,10.42768998,NA,5.00E-04,6.65099528,1.6433728,4.03089525,4.06502066,3.507,0.1062,0.005,0.005,0.259475959,0,0.564170764,2.165126428,3.381474234,0.921854651,6.387359311,2.669831046,10.26620998,0.407284669,129.2395833,10.50520833,11.49860338,9.139895833,0.64875958,101.0681875,9.32875,18.79003478,10917.4056,0.397728042,-4912.339312
6.457302062,6.455228616,6.25941837,7.030028577,PM,11/20/2019,2019-11-20T16:45:00Z,11/20/2019,5.587116681,2460.495081,0.113715352,9.30E-04,18.12647616,0.007859586,7.24,1.16,0.799242318,0.403624676,9.023,10.33,11.5421556,97.4,14.275,101.0377729,35.987235,-79.008397,WGS84,1570,18.5,68.63434374,0.00980557,pool,10.64530774,13.10655809,NA,0.035755663,NA,NA,NA,NA,3.768,0.1173,0.005,0.00939,0.324682125,0,0.841734309,3.920452356,5.136818069,2.62832714,9.141316631,7.103733376,11.34220547,0.403867884,98.03541667,10.25953125,11.47394184,9.229574271,0.802518453,101.0681875,9.32875,36.07169169,15766.04771,0.662595526,-8537.341185
6.650071286,6.6499144,6.452164287,7.239297786,CBP,11/20/2019,2019-11-20T18:30:00Z,11/20/2019,3.558607241,2711.095329,0.055814149,9.30E-04,18.12647616,0.007859586,7.18,0.59,0.82511342,0.397784495,9.34633,10.37,11.44864427,85.7,15.3,100.8999547,35.98549,-79.022675,WGS84,3450,18.3,66.04436851,0.00980557,pool,10.41619253,11.7564827,NA,0.026882222,NA,NA,NA,NA,3.609,0.1187,0.005,0.00487,0.239347889,0,0.651034238,3.818399421,4.704362563,2.874928008,9.32812316,7.833962902,10.96402854,0.39880923,85.73541667,10.31895833,11.54669034,8.968711302,0.834551551,101.0681875,9.32875,23.65880409,17908.01235,0.309410716,-8887.917587
4.290096321,4.287958035,4.156331073,4.670983828,WB,11/20/2019,2019-11-20T17:30:00Z,11/20/2019,2.576159756,2710.6356,0.144995427,9.30E-04,18.12647616,0.007859586,7.2,0.66,0.877463146,0.610167673,8.83033,10.04,11.59341127,97.4,14.7,101.0307729,35.993014,-79.034349,WGS84,5950,10,61.64141061,0.00223296,run,10.10415359,12.42694528,NA,0.033381081,NA,NA,NA,NA,4.175,0.1488,0.005,0.00649,0.833546521,0.351257393,1.315681004,5.556753515,7.756763546,3.33860691,6.106733104,3.665551143,8.746328339,0.611306967,98.71875,9.979270833,11.5275258,9.040913021,0.889007819,101.0681875,9.32875,11.04798165,11545.36613,0.569981955,-7231.873927
