site,date,time,watertemp_C,airpres_mmHg,pH,CH4.ugL,CO2.ugL,N2O.ugL,CH4.sat,CO2.sat,N2O.sat,Notes,error_pct
CBP,2019-11-11,13:26,7.8,753.9,NA,6.344540156,3937.513334,0.540290365,0.065238978,1018.131041,0.590640362,,0
CBP,2019-11-11,13:26,7.8,753.9,NA,8.953903405,4664.196773,0.673964853,0.065238978,1018.131041,0.590640362,,0
MC751,2019-11-11,15:10,9,753,NA,95.94167632,12495.76994,0.263611129,0.063153962,975.0056931,0.564254836,,0
MC751,2019-11-11,15:10,9,753,NA,87.4978272,11857.49528,0.278392936,0.063153962,975.0056931,0.564254836,,0
NHC,2019-11-11,14:40,8.9,755,NA,7.868301896,3933.653785,0.356738709,0.063485103,981.0013865,0.567838024,,0
NHC,2019-11-11,14:40,8.9,755,NA,11.32911163,4535.424103,0.56428272,0.063485103,981.0013865,0.567838024,,0
UNHC,2019-11-11,14:01,8.1,751.6,NA,14.07507761,5400.32887,0.684072297,0.064528423,1004.329239,0.582278176,vial leaked,0
UNHC,2019-11-11,14:01,8.1,751.6,NA,14.18530149,5204.638806,0.642340827,0.064528423,1004.329239,0.582278176,vial leaked,0
WB,2019-11-11,12:43,9.6,753.4,NA,3.90034087,5303.007829,0.654583177,0.062225047,955.4825799,0.552298732,,0
WB,2019-11-11,12:43,9.6,753.4,NA,3.808744222,4848.328648,0.520981882,0.062225047,955.4825799,0.552298732,,0
WBP,2019-11-11,13:05,9.1,752.9,NA,21.09560523,7292.548146,0.485362918,0.06298339,971.4965581,0.562111999,,0
WBP,2019-11-11,13:05,9.1,752.9,NA,19.87092377,6942.264143,0.3878708,0.06298339,971.4965581,0.562111999,,0
CBP,2019-11-20,13:27,9.3,755.2,7.18,2.581070251,2613.897751,0.081065104,0.062852711,967.7348709,0.559712967,,0
CBP,2019-11-20,13:27,9.3,755.2,7.18,4.536144231,2808.292906,0.030563193,0.062852711,967.7348709,0.559712967,,0
MC751,2019-11-20,14:05,9.9,754.8,7.01,40.24149306,5766.025945,-0.220918045,0.061868585,947.4411324,0.547327478,,0
MC751,2019-11-20,14:05,9.9,754.8,7.01,40.67432086,5746.797712,-0.01260746,0.061868585,947.4411324,0.547327478,,0
NHC,2019-11-20,14:20,9.5,757.2,7.07,4.160848344,2402.795629,0.098399078,0.062698239,963.617264,0.55711081,,0
NHC,2019-11-20,14:20,9.5,757.2,7.07,4.114107863,2440.794972,0.097851415,0.062698239,963.617264,0.55711081,,0
PM,2019-11-20,11:40,9.5,756.9,7.24,5.587116681,2460.495081,0.113715352,0.062673398,963.2354822,0.556890084,,0
UNHC,2019-11-20,13:30,9.2,753.8,6.89,16.20256281,5706.638404,-0.049307515,0.062897059,969.291002,0.560724309,,0
UNHC,2019-11-20,13:30,9.2,753.8,6.89,9.69008529,5477.559829,-0.052901222,0.062897059,969.291002,0.560724309,,0
WB,2019-11-20,12:37,9.5,756.9,7.2,2.621545402,2913.398022,-0.010183643,0.062673398,963.2354822,0.556890084,,0
WB,2019-11-20,12:37,9.5,756.9,7.2,2.530774109,2507.873178,0.300174496,0.062673398,963.2354822,0.556890084,vial leaked,0
WBP,2019-11-20,12:55,9.3,754,7.11,6.701684877,3982.066929,-0.020070049,0.062752839,966.1971566,0.558823593,,0
WBP,2019-11-20,12:55,9.3,754,7.11,8.167083292,4377.410164,0.055928478,0.062752839,966.1971566,0.558823593,,0
CBP,2019-11-26,13:29,7.9,760,7.19,2.145198633,2732.623597,0.394842657,0.065593615,1022.745731,0.593196539,,0
CBP,2019-11-26,13:29,7.9,760,7.19,2.088111281,2608.917629,0.324831898,0.065593615,1022.745731,0.593196539,,0
MC751,2019-11-26,15:24,9.1,760,7.01,36.74496724,5946.98375,0.212054342,0.063577336,980.6579681,0.56741283,,0
MC751,2019-11-26,15:24,9.1,760,7.01,40.13091067,6096.064419,0.242439364,0.063577336,980.6579681,0.56741283,,0
PM,2019-11-26,13:29,8.2,760,7.14,1.616136775,1916.52803,0.181534382,0.065078812,1011.984885,0.58659778,,0
PM,2019-11-26,13:29,8.2,760,7.14,2.236877184,2256.634455,0.351555807,0.065078812,1011.984885,0.58659778,,0
WB,2019-11-26,14:42,9,760,7.29,2.449745625,2689.08725,0.305566098,0.06374105,984.069491,0.569500233,,0
WB,2019-11-26,14:42,9,760,7.29,2.766914934,2904.645129,0.425512622,0.06374105,984.069491,0.569500233,,0
WBP,2019-11-26,14:54,8.1,760,7.13,7.351841849,3808.164002,0.379439398,0.065249603,1015.553781,0.588785809,,0
WBP,2019-11-26,14:54,8.1,760,7.13,5.159769789,2843.633706,0.44682935,0.065249603,1015.553781,0.588785809,vial leaked,0
CBP,2019-12-03,11:09,7.1,743.5,7.02,2.328463726,2512.818812,0.20388255,0.065548052,1029.406894,0.598040661,,0
CBP,2019-12-03,11:09,7.1,743.5,7.02,2.372439397,2376.641819,0.156968737,0.065548052,1029.406894,0.598040661,,0
MC751,2019-12-03,14:12,7.6,746.5,7.05,26.64094061,5446.839706,0.327325699,0.064941347,1015.309437,0.589244287,,0
MC751,2019-12-03,14:12,7.6,746.5,7.05,28.18550156,5495.256111,0.303906375,0.064941347,1015.309437,0.589244287,,0
PM,2019-12-03,13:23,7.7,748.4,7.33,1.245420668,1245.80205,0.302243393,0.064934428,1014.289405,0.588531899,vial leaked,0
PM,2019-12-03,13:23,7.7,748.4,7.33,1.014686625,1617.783944,0.0315925,0.064934428,1014.289405,0.588531899,,0
WB,2019-12-03,12:25,8.1,746.3,7.18,2.181590926,2371.918612,0.516278319,0.064073393,997.2470881,0.57817217,,0
WB,2019-12-03,12:25,8.1,746.3,7.18,1.971203394,2285.284578,0.390080107,0.064073393,997.2470881,0.57817217,,0
WBP,2019-12-03,12:44,7.6,746,7.1,6.699244996,3311.796162,0.613668426,0.06489785,1014.62939,0.588849616,,0
WBP,2019-12-03,12:44,7.6,746,7.1,6.623048538,3408.661523,0.657579396,0.06489785,1014.62939,0.588849616,,0
NHC,2019-12-04,12:00,8,746,NA,3.11624644,1842.556625,0.259928342,0.064216075,1000.367049,0.580098798,equilibration temperature estimated,0
NHC,2019-12-04,12:00,8,746,NA,2.860177168,1781.884775,0.189839614,0.064216075,1000.367049,0.580098798,equilibration temperature estimated,0
UNHC,2019-12-04,12:00,8,746,NA,3.882611467,2742.341618,0.674568158,0.064216075,1000.367049,0.580098798,equilibration temperature estimated,0
UNHC,2019-12-04,12:00,8,746,NA,4.260861754,3078.255853,0.949657415,0.064216075,1000.367049,0.580098798,equilibration temperature estimated,0
CBP,2019-12-12,13:33,5.6,768.1,7.29,1.884113029,2617.418975,0.515212424,0.070538037,1122.766122,0.654331822,,0
CBP,2019-12-12,13:33,5.6,768.1,7.29,1.700267518,2490.737859,0.59795789,0.070538037,1122.766122,0.654331822,,0
MC751,2019-12-12,14:50,6,767.1,7.08,23.89892698,5318.878152,0.627968667,0.069674934,1105.063625,0.643469992,,0
MC751,2019-12-12,14:50,6,767.1,7.08,25.41400046,5678.399909,0.702227496,0.069674934,1105.063625,0.643469992,,0
PM,2019-12-12,12:28,6.4,770.4,7.15,2.897558343,2268.397106,0.540172617,0.069214828,1093.838881,0.636398788,,0
PM,2019-12-12,12:28,6.4,770.4,7.15,3.021374833,2297.659856,0.513027576,0.069214828,1093.838881,0.636398788,,0
WB,2019-12-12,14:01,7.7,766.7,7.46,2.4172947,2312.033303,0.681773019,0.066522216,1039.090977,0.602922778,,0
WB,2019-12-12,14:01,7.7,766.7,7.46,1.768255445,2224.11165,0.735198254,0.066522216,1039.090977,0.602922778,,0
WBP,2019-12-12,14:21,6.7,766.3,7.24,6.999524391,3838.246663,0.572933393,0.068289051,1076.30926,0.62580792,sample volume estimated +- 0.35g,0.008226
WBP,2019-12-12,14:21,6.7,766.3,7.24,7.603305154,3861.028888,0.686856366,0.068289051,1076.30926,0.62580792,,0
CBP,2020-01-05,13:15,9,757,7.1,1.696407656,1846.686559,0.352168116,0.063489441,980.1850062,0.567252206,,0
CBP,2020-01-05,13:15,9,757,7.1,1.536953608,1591.359396,0.319511132,0.063489441,980.1850062,0.567252206,sample volume estimated +- 0.97g,0.018798
MC751,2020-01-05,15:10,9,756.2,7.05,17.01923253,4393.542166,1.174723983,0.063422345,979.1491436,0.566652732,,0
MC751,2020-01-05,15:10,9,756.2,7.05,16.29915003,3896.060165,0.96102234,0.063422345,979.1491436,0.566652732,sample volume estimated +- 0.97g,0.020378
PM,2020-01-05,14:40,9.1,757.9,7.33,1.00078649,1538.190597,0.196510315,0.063401662,977.9482553,0.565844978,,0
PM,2020-01-05,14:40,9.1,757.9,7.33,0.919747792,1302.956498,0.29250641,0.063401662,977.9482553,0.565844978,sample volume estimated +- 0.97g,0.019959
WB,2020-01-05,13:45,9.1,755.7,7.21,2.573076323,1946.24296,0.5208627,0.063217622,975.1095085,0.564202468,,0
WB,2020-01-05,13:45,9.1,755.7,7.21,2.285995122,2072.53541,0.368917162,0.063217622,975.1095085,0.564202468,sample volume estimated +- 0.97g,0.020378
WBP,2020-01-05,14:00,9.1,755.2,7.19,3.648610983,1846.8185,0.456965722,0.063175795,974.4643388,0.56382917,,0
WBP,2020-01-05,14:00,9.1,755.2,7.19,3.696396156,1871.029392,0.37361325,0.063175795,974.4643388,0.56382917,sample volume estimated +- 0.97g,0.022248
CBP,2020-01-29,12:25,6.4,754.9,6.93,1.457126429,1748.729048,0.759702638,0.067822266,1071.831479,0.623594814,,0
CBP,2020-01-29,12:25,6.4,754.9,6.93,1.503242857,1916.243119,0.725027439,0.067822266,1071.831479,0.623594814,,0
MC751,2020-01-30,10:15,6,758.5,6.86,33.52679121,5756.89545,1.370735365,0.068893805,1092.674696,0.636256015,,0
NHC,2020-01-30,13:30,6.6,756.6,7.52,2.260156319,1290.077957,0.739243125,0.067607211,1066.518777,0.620244593,,0
PM,2020-01-29,11:30,6.4,757.3,6.58,1.102012466,1629.716053,0.690961887,0.068037888,1075.239077,0.625577365,,0
PM,2020-01-29,11:30,6.4,757.3,6.58,1.124821142,1713.993279,0.754291964,0.068037888,1075.239077,0.625577365,,0
UNHC,2020-01-29,12:50,6.7,753.3,7.72,3.948105976,2102.540698,0.781370135,0.067130552,1058.050066,0.615191317,,0
UNHC,2020-01-29,12:50,6.7,753.3,7.72,4.114467305,2054.063025,0.794480396,0.067130552,1058.050066,0.615191317,,0
WB,2020-01-29,12:55,6.6,753.2,7.06,2.301087205,2257.116985,0.76362757,0.067303399,1061.726068,0.617457345,,0
WB,2020-01-29,12:55,6.6,753.2,7.06,2.533582474,2342.823969,0.94858909,0.067303399,1061.726068,0.617457345,,0
WBP,2020-01-29,13:20,6.3,752.5,6.95,5.325067637,2514.096806,0.830165091,0.067790858,1072.295758,0.623995675,,0
WBP,2020-01-29,13:20,6.3,752.5,6.95,5.19358454,2408.481707,0.80286275,0.067790858,1072.295758,0.623995675,,0
CBP,2020-02-12,12:00,12.4,756.8,6.89,1.031261755,1733.502797,0.492173952,0.058333469,873.3319036,0.502104946,,0
CBP,2020-02-12,12:00,12.4,756.8,6.89,0.99057569,1763.672113,0.496632194,0.058333469,873.3319036,0.502104946,,0
MC751,2020-02-12,8:15,12,756.6,6.64,8.942669575,5360.805241,0.983966308,0.058881538,884.7383639,0.509045029,,0
MC751,2020-02-12,8:15,12,756.6,6.64,9.663518291,5704.303362,1.043923876,0.058881538,884.7383639,0.509045029,,0
NHC,2020-02-12,9:30,12.2,759.4,7.41,1.836932499,2172.083016,0.860591427,0.058815366,882.1441497,0.507361495,,0
NHC,2020-02-12,9:30,12.2,759.4,7.41,1.215899893,1627.47585,0.516152272,0.058815366,882.1441497,0.507361495,,0
PM,2020-02-12,9:00,12.4,758.3,7.05,0.668683493,1566.902299,0.501849693,0.058449087,875.0628733,0.503100133,,0
PM,2020-02-12,9:00,12.4,758.3,7.05,0.732649221,1553.414434,0.506184489,0.058449087,875.0628733,0.503100133,,0
