site,date,datetime,group,CH4.ugL,CO2.ugL,N2O.ugL,CH4.sat,CO2.sat,N2O.sat,pH,level_m.inst,discharge.inst,depth.inst,watertemp_C.inst,DO.obs.inst,DO.sat.inst,spc_uScm.inst,airtemp_C.inst,airpres_kPa.inst,latitude,longitude,CRS,distance_upstream_m,width_march_m,ws_area_km2,slope_wbx,habitat,cl_mgl,so4_mgl,br_mgl,no3n_mgl,na_mgl,k_mgl,mg_mgl,ca_mgl,doc_mgl,tdn_mgl,nh4n_mgl,po4p_mgl,GPP,GPP.lower,GPP.upper,ER,ER.lower,ER.upper,K600,K600_2.5,K600_97.5,depth,spc_uScm,DO.obs,DO.sat,watertemp_C,discharge,airpres_kPa,airtemp_C,sample,slope_mm
NHC,2019-11-11,2019-11-11T19:45:00Z,2019-11-11,7.868301896,3933.653785,0.356738709,0.063485103,981.0013865,0.567838024,NA,0.9326049255780804,0.3253165794819162,0.35332287445556604,8.24,10.06,11.730161211873051,132,20.6,100.80380130488352,35.9795,-79.0018,WGS84,0,10,81.06622487,0.022,run,8.278295807,8.047310712,NA,0.048003512,NA,NA,NA,NA,3.275,0.1147,0.005,0.0117,0.28364420038969457,0,0.5746616824448596,4.069905520187036,6.54491814426201,1.4980180349490544,6.686762556171562,2.2284836047497003,11.102046722863165,0.3557769246648133,131.625,9.7091666666666665,11.745950732524445,8.262083333333333,0.3436207570951134,101.13628345926489,12.890104166666667,NHC_2019-11-11,0.00230383472585434
NHC,2019-11-11,2019-11-11T19:45:00Z,2019-11-11,11.32911163,4535.424103,0.56428272,0.063485103,981.0013865,0.567838024,NA,0.9326049255780804,0.3253165794819162,0.35332287445556604,8.24,10.06,11.730161211873051,132,20.6,100.80380130488352,35.9795,-79.0018,WGS84,0,10,81.06622487,0.022,run,8.278295807,8.047310712,NA,0.048003512,NA,NA,NA,NA,3.275,0.1147,0.005,0.0117,0.28364420038969457,0,0.5746616824448596,4.069905520187036,6.54491814426201,1.4980180349490544,6.686762556171562,2.2284836047497003,11.102046722863165,0.3557769246648133,131.625,9.7091666666666665,11.745950732524445,8.262083333333333,0.3436207570951134,101.13628345926489,12.890104166666667,NHC_2019-11-11,0.00230383472585434
CBP,2019-11-11,2019-11-11T18:30:00Z,2019-11-11,6.344540156,3937.513334,0.540290365,0.065238978,1018.131041,0.590640362,NA,0.4870918762986447,0.34598506607565926,0.29564294575511013,8.05033,10.57,11.798098168238496,99,20,100.78797774802445,35.98549,-79.022675,WGS84,3450,18.3,66.04436851,0.037,pool,12.5150844,13.00590552,NA,0.044629105,NA,NA,NA,NA,3.876,0.1392,0.005,0.00721,0.15347299264169714,0,0.5412078199738857,1.73133000912483,2.775332945972495,0.6946172637662019,5.366803354056029,2.847861184104825,8.038692251980569,0.2981609675738044,99.18645833333333,10.370416666666667,11.775616673384993,8.168920208333333,0.35928347825728396,101.13628345926489,12.890104166666667,CBP_2019-11-11,0.00387463147802864
CBP,2019-11-11,2019-11-11T18:30:00Z,2019-11-11,8.953903405,4664.196773,0.673964853,0.065238978,1018.131041,0.590640362,NA,0.4870918762986447,0.34598506607565926,0.29564294575511013,8.05033,10.57,11.798098168238496,99,20,100.78797774802445,35.98549,-79.022675,WGS84,3450,18.3,66.04436851,0.037,pool,12.5150844,13.00590552,NA,0.044629105,NA,NA,NA,NA,3.876,0.1392,0.005,0.00721,0.15347299264169714,0,0.5412078199738857,1.73133000912483,2.775332945972495,0.6946172637662019,5.366803354056029,2.847861184104825,8.038692251980569,0.2981609675738044,99.18645833333333,10.370416666666667,11.775616673384993,8.168920208333333,0.35928347825728396,101.13628345926489,12.890104166666667,CBP_2019-11-11,0.00387463147802864
WB,2019-11-11,2019-11-11T17:45:00Z,2019-11-11,3.90034087,5303.007829,0.654583177,0.062225047,955.4825799,0.552298732,NA,0.678029091633078,0.34806349698471745,0.4874468405962325,8.98667,8.83,11.544282570511644,99.4,18.85,100.80089885854304,35.993014,-79.034349,WGS84,5950,10,61.64141061,0.038,run,9.28627987,12.55795999,NA,0.062500965,NA,NA,NA,NA,4.698,0.1713,0.005,0.00466,0.7717209343782573,0.35221571629880977,1.1970689438284234,2.614760246809631,4.352320051228277,1.0646704590019744,1.9003030873727853,0.40591937809212764,3.7516553880688517,0.4913550678033648,101.05625,8.962395833333334,11.37406015516013,9.627642395833334,0.3706332762008858,101.13628345926489,12.890104166666667,WB_2019-11-11,0.00397935127800959
WB,2019-11-11,2019-11-11T17:45:00Z,2019-11-11,3.808744222,4848.328648,0.520981882,0.062225047,955.4825799,0.552298732,NA,0.678029091633078,0.34806349698471745,0.4874468405962325,8.98667,8.83,11.544282570511644,99.4,18.85,100.80089885854304,35.993014,-79.034349,WGS84,5950,10,61.64141061,0.038,run,9.28627987,12.55795999,NA,0.062500965,NA,NA,NA,NA,4.698,0.1713,0.005,0.00466,0.7717209343782573,0.35221571629880977,1.1970689438284234,2.614760246809631,4.352320051228277,1.0646704590019744,1.9003030873727853,0.40591937809212764,3.7516553880688517,0.4913550678033648,101.05625,8.962395833333334,11.37406015516013,9.627642395833334,0.3706332762008858,101.13628345926489,12.890104166666667,WB_2019-11-11,0.00397935127800959
WBP,2019-11-11,2019-11-11T18:00:00Z,2019-11-11,21.09560523,7292.548146,0.485362918,0.06298339,971.4965581,0.562111999,NA,0.9202743901664354,0.35226802703116733,0.4847292464003705,9.599,6.78,11.37246243201034,91.8,19.4,100.74881996906163,35.994973,-79.033925,WGS84,6120,15.6,61.38241308,0.021,pool,9.537200948,12.33627478,NA,0.021508166,NA,NA,NA,NA,4.921,0.17,0.005,0.00569,0.6237878461806659,0,1.5697148127746332,3.6833033004471734,6.986028808051409,0.7892463971674009,1.670264180311007,0.35229248698933857,3.4073624125940456,0.4881145819666115,90.61770833333334,6.8620833333333335,11.454376740929193,9.308112395833334,0.3714050624610507,101.13628345926489,12.890104166666667,WBP_2019-11-11,0.00219911495598649
WBP,2019-11-11,2019-11-11T18:00:00Z,2019-11-11,19.87092377,6942.264143,0.3878708,0.06298339,971.4965581,0.562111999,NA,0.9202743901664354,0.35226802703116733,0.4847292464003705,9.599,6.78,11.37246243201034,91.8,19.4,100.74881996906163,35.994973,-79.033925,WGS84,6120,15.6,61.38241308,0.021,pool,9.537200948,12.33627478,NA,0.021508166,NA,NA,NA,NA,4.921,0.17,0.005,0.00569,0.6237878461806659,0,1.5697148127746332,3.6833033004471734,6.986028808051409,0.7892463971674009,1.670264180311007,0.35229248698933857,3.4073624125940456,0.4881145819666115,90.61770833333334,6.8620833333333335,11.454376740929193,9.308112395833334,0.3714050624610507,101.13628345926489,12.890104166666667,WBP_2019-11-11,0.00219911495598649
UNHC,2019-11-11,2019-11-11T19:00:00Z,2019-11-11,14.07507761,5400.32887,0.684072297,0.064528423,1004.329239,0.582278176,NA,0.5201776938855135,0.36747679691801094,0.2816953504864305,8.3,7.74,11.720091133167209,144.9,20.6,100.60716485640998,35.9925,-79.046,WGS84,8450,13.8,58.01544528,0.018,run,10.94690444,11.72112953,NA,0.181355084,NA,NA,NA,NA,2.895,0.2587,0.005,0.00578,0.07035421351502327,0,0.4976834416769831,6.457051979274431,10.419057598641027,2.365864425407446,6.9642084220276095,2.308483425802679,11.425481947156497,0.28425452275000385,144.9,7.85875,11.730410013499817,8.322291666666667,0.3819830741444876,101.13628345926489,12.890104166666667,UNHC_2019-11-11,0.00188495565416643
UNHC,2019-11-11,2019-11-11T19:00:00Z,2019-11-11,14.18530149,5204.638806,0.642340827,0.064528423,1004.329239,0.582278176,NA,0.5201776938855135,0.36747679691801094,0.2816953504864305,8.3,7.74,11.720091133167209,144.9,20.6,100.60716485640998,35.9925,-79.046,WGS84,8450,13.8,58.01544528,0.018,run,10.94690444,11.72112953,NA,0.181355084,NA,NA,NA,NA,2.895,0.2587,0.005,0.00578,0.07035421351502327,0,0.4976834416769831,6.457051979274431,10.419057598641027,2.365864425407446,6.9642084220276095,2.308483425802679,11.425481947156497,0.28425452275000385,144.9,7.85875,11.730410013499817,8.322291666666667,0.3819830741444876,101.13628345926489,12.890104166666667,UNHC_2019-11-11,0.00188495565416643
