site,date,cl_mgl,so4_mgl,br_mgl,no3n_mgl,na_mgl,k_mgl,mg_mgl,ca_mgl,doc_mgl,tdn_mgl,nh4n_mgl,po4p_mgl,GPP,GPP.lower,GPP.upper,ER,ER.lower,ER.upper,K600,K600_2.5,K600_97.5,depth,spc_uScm,DO.obs,DO.sat,watertemp_C,discharge,airpres_kPa,airtemp_C,latitude,longitude,CRS,distance_upstream_m,width_march_m,ws_area_km2,slope_wbx,habitat,slope_mm
NHC,2019-11-11,8.278295807,8.047310712,NA,0.048003512,NA,NA,NA,NA,3.275,0.1147,0.005,0.0117,0.28364420038969457,0,0.5746616824448596,4.069905520187036,6.54491814426201,1.4980180349490544,6.686762556171562,2.2284836047497003,11.102046722863165,0.3557769246648133,131.625,9.7091666666666665,11.745950732524445,8.262083333333333,0.3436207570951134,101.13628345926489,12.890104166666667,35.9795,-79.0018,WGS84,0,10,81.06622487,0.022,run,0.00230383472585434
PM,2019-11-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.5072969689403298,1.7337652872513811,3.2451520738363646,0.08735867718351283,4.86562744449617,1.4732128255237544,8.328880649364441,0.33296941485968745,100.03020833333333,9.773645833333333,11.450276594419059,9.3232128125,0.3507484302036954,101.13628345926489,12.890104166666667,35.987235,-79.008397,WGS84,1570,18.5,68.63434374,0.042,pool,0.00439823050281498
CBP,2019-11-11,12.5150844,13.00590552,NA,0.044629105,NA,NA,NA,NA,3.876,0.1392,0.005,0.00721,0.15347299264169714,0,0.5412078199738857,1.73133000912483,2.775332945972495,0.6946172637662019,5.366803354056029,2.847861184104825,8.038692251980569,0.2981609675738044,99.18645833333333,10.370416666666667,11.775616673384993,8.168920208333333,0.35928347825728396,101.13628345926489,12.890104166666667,35.98549,-79.022675,WGS84,3450,18.3,66.04436851,0.037,pool,0.00387463147802864
WB,2019-11-11,9.28627987,12.55795999,NA,0.062500965,NA,NA,NA,NA,4.698,0.1713,0.005,0.00466,0.7717209343782573,0.35221571629880977,1.1970689438284234,2.614760246809631,4.352320051228277,1.0646704590019744,1.9003030873727853,0.40591937809212764,3.7516553880688517,0.4913550678033648,101.05625,8.962395833333334,11.37406015516013,9.627642395833334,0.3706332762008858,101.13628345926489,12.890104166666667,35.993014,-79.034349,WGS84,5950,10,61.64141061,0.038,run,0.00397935127800959
WBP,2019-11-11,9.537200948,12.33627478,NA,0.021508166,NA,NA,NA,NA,4.921,0.17,0.005,0.00569,0.6237878461806659,0,1.5697148127746332,3.6833033004471734,6.986028808051409,0.7892463971674009,1.670264180311007,0.35229248698933857,3.4073624125940456,0.4881145819666115,90.61770833333334,6.8620833333333335,11.454376740929193,9.308112395833334,0.3714050624610507,101.13628345926489,12.890104166666667,35.994973,-79.033925,WGS84,6120,15.6,61.38241308,0.021,pool,0.00219911495598649
UNHC,2019-11-11,10.94690444,11.72112953,NA,0.181355084,NA,NA,NA,NA,2.895,0.2587,0.005,0.00578,0.07035421351502327,0,0.4976834416769831,6.457051979274431,10.419057598641027,2.365864425407446,6.9642084220276095,2.308483425802679,11.425481947156497,0.28425452275000385,NA,7.85875,11.730410013499817,8.322291666666667,0.3819830741444876,101.13628345926489,12.890104166666667,35.9925,-79.046,WGS84,8450,13.8,58.01544528,0.018,run,0.00188495565416643
MC751,2019-11-11,13.3215945,7.729963971,NA,0.032881168,NA,NA,NA,NA,4.666,0.1516,0.005,0.00652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.0087,-78.9683,WGS84,NA,4,3.574165825,0.01,pool,NA
NHC,2019-11-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1890961335931297,0,0.47739210050942216,3.0389583253333163,4.949939981242867,1.075239258298716,6.761165675341944,2.6007966092729937,10.957020729377456,0.3715128950372914,130.30208333333334,9.802708333333333,11.50416418839356,9.033333333333333,0.4874573064345973,100.91685637593156,6.449479166666666,35.9795,-79.0018,WGS84,0,10,81.06622487,0.022,run,0.00230383472585434
PM,2019-11-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27943702882255134,0,0.8340179839799566,3.3144263816418236,5.133465073903336,1.5863042818028639,7.750322792677254,4.285899151333507,11.48126954138355,0.35518375748396624,100.97708333333334,9.9403125,11.395501696802427,9.428264270833333,0.5145580139313509,100.91685637593156,6.449479166666666,35.987235,-79.008397,WGS84,1570,18.5,68.63434374,0.042,pool,0.00439823050281498
CBP,2019-11-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2586128865185461,0,0.6338593751618384,3.0716311029586745,4.231752986135332,1.842074697716032,8.868786155812614,6.048097314056639,11.711801727030887,0.32658616296382026,96.76041666666667,10.213958333333334,11.561701956171964,8.825996875,0.5471196885556873,100.91685637593156,6.449479166666666,35.98549,-79.022675,WGS84,3450,18.3,66.04436851,0.037,pool,0.00387463147802864
WB,2019-11-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5516000384549875,0.08842964380663863,0.999347944737312,1.0131274711334577,3.2979926118554093,0,1.3871338173812993,0.09567643249511709,3.7247023441954226,0.5191861789761607,99.08333333333333,8.973854166666667,11.401581639893566,9.4098512500000009,0.5904112203959051,100.91685637593156,6.449479166666666,35.993014,-79.034349,WGS84,5950,10,61.64141061,0.038,run,0.00397935127800959
WBP,2019-11-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7680103781191454,0,1.657379385301847,3.068105945798716,6.015579380423676,0.3439942942898584,2.2394976347098723,0.727994366121492,3.842906666814231,0.5169802404789455,90.459375,7.538125,11.427063240475425,9.311552291666667,0.5933554055732485,100.91685637593156,6.449479166666666,35.994973,-79.033925,WGS84,6120,15.6,61.38241308,0.021,pool,0.00219911495598649
UNHC,2019-11-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.28671702848173286,7.522367626315621,10.867811640757338,3.8739784293875097,9.388438801471516,5.023779102616844,13.424002291295919,0.3173310389493953,NA,7.937395833333333,11.477074485648526,9.135,0.6337096947797008,100.91685637593156,6.449479166666666,35.9925,-79.046,WGS84,8450,13.8,58.01544528,0.018,run,0.00188495565416643
NHC,2019-11-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09454806679656486,0,0.3801225185739847,2.0080111304795967,3.3549618182237233,0.6524604816483774,6.8355687945123265,2.973109613796287,10.811994735891746,0.40091040475222545,130.27083333333334,11.674583333333333,12.452020604226773,6.335833333333333,0.8882050560205749,102.19977304259822,-0.5208333333333333,35.9795,-79.0018,WGS84,0,10,81.06622487,0.022,run,0.00230383472585434
PM,2019-11-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13971851441127567,0,0.6054529099312098,2.3761551106691097,3.84761473153631,0.9593013717613884,7.86560414353967,4.451528793604195,11.555294377305056,0.37670058995696754,94.18333333333334,11.455520833333333,12.32212183862469,6.757131979166666,0.7114934415018056,102.19977304259822,-0.5208333333333333,35.987235,-79.008397,WGS84,1570,18.5,68.63434374,0.042,pool,0.00439823050281498
CBP,2019-11-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.21192085070276329,0,0.5873623802148598,2.3114258926761164,3.2379836151390227,1.344732118428058,8.937023000178105,6.156290451700276,11.63451669855448,0.3441046438533575,85.45625,11.524270833333333,12.47962138894693,6.251837083333333,0.6746785218873899,102.19977304259822,-0.5208333333333333,35.98549,-79.022675,WGS84,3450,18.3,66.04436851,0.037,pool,0.00387463147802864
