site,sample,date,group,habitat,CH4.ugL,CO2.ugL,N2O.ugL,CH4.sat,CO2.sat,N2O.sat,discharge.inst,depth.inst,watertemp_C.inst,DO.obs.inst,DO.sat.inst,spc_uScm.inst,distance_upstream_m,width_march_m,ws_area_km2,slope_wbx,no3n_mgl,doc_mgl,tdn_mgl,nh4n_mgl,GPP,GPP.lower,GPP.upper,ER,ER.lower,ER.upper,K600,K600_2.5,K600_97.5,depth,DO.obs,DO.sat,watertemp_C,discharge,slope_mm,CH4.flux_ugld,CO2.flux_ugld,N2O.flux_ugld,O2.flux_ugld
CBP,CBP_2019-11-11,2019-11-11,2019-11-11,pool,7.6492217805,4300.8550534999995,0.607127609,0.065238978,1018.131041,0.590640362,0.34598506607565926,0.29564294575511013,8.05033,10.57,11.798098168238496,99,3450,18.3,66.04436851,0.037,0.044629105,3.876,0.1392,0.005,0.15347299264169714,0,0.5412078199738857,1.73133000912483,2.775332945972495,0.6946172637662019,5.366803354056029,2.847861184104825,8.038692251980569,0.2981609675738044,10.370416666666667,11.775616673384992,8.168920208333333,0.35928347825728396,0.00387463147802864,27.96210995789934,12088.672091179453,0.05875802015910951,-5644.157377851053
CBP,CBP_2019-11-20,2019-11-20,2019-11-20,pool,3.558607241,2711.0953285,0.0558141485,0.062852711,967.7348709,0.559712967,0.8412349765529235,0.3620901618490297,9.34633,10.37,11.450784484136577,85.7,3450,18.3,66.04436851,0.037,0.026882222,3.609,0.1187,0.005,0.2356143402548937,0,0.635916297436407,4.032151282233414,5.36476777304547,2.800609828186633,10.405006183049183,7.765683757906944,13.244023023269342,0.3628270973336531,10.318958333333333,11.548849496730428,8.968711302083333,0.849568833348289,0.00387463147802864,25.930763308220858,12931.571854178172,-3.626576376298809,-9931.416461873145
CBP,CBP_2019-11-26,2019-11-26,2019-11-26,pool,2.116654957,2670.7706129999997,0.3598372775,0.065593615,1022.745731,0.593196539,1.089999508298409,0.38414049906057246,7.582,11.28,11.924255684347004,96.9,3450,18.3,66.04436851,0.037,0.023382837,4.651,0.1559,0.005,0.34949208411020716,0,0.7272826620743442,3.234787036532979,4.182129912634514,2.284259529939205,10.86970033209548,8.156339955117527,13.42967829833763,0.38693919238028746,10.9840625,11.904696201179036,7.659645833333333,1.126342443875604,0.00387463147802864,15.111008926614144,12121.691905075884,-1.6594708325071417,-7392.923365715073
CBP,CBP_2019-12-03,2019-12-03,2019-12-03,pool,2.3504515615,2444.7303155,0.1804256435,0.065548052,1029.406894,0.598040661,0.982811602609423,0.3751730220997813,7.0985,11.215,11.988124363281036,78.05000000000001,3450,18.3,66.04436851,0.037,0.280212717,5.821,0.4894,0.005,0.4126216420918899,0.04451117141012382,0.7739837707070054,2.6900301588777036,3.5862832368245,1.776494370904265,10.870691052373854,8.076407883544574,13.810988434583376,0.3783339000430022,11.06828125,11.858904674422124,7.477005208333333,1.0245101077159098,0.00387463147802864,16.60152578928899,10261.903780488376,-2.9243996820129867,-6265.515029740514
CBP,CBP_2019-12-12,2019-12-12,2019-12-12,pool,1.7921902735000002,2554.0784169999997,0.556585157,0.070538037,1122.766122,0.654331822,1.0346110277362954,0.3795961388500664,5.6,12.34,12.785685018700171,88,3450,18.3,66.04436851,0.037,0.0888,4.317,0.2295,0.005,0.5309440295824857,0.14356574197633412,0.9141403364391676,2.6431851909404536,3.5725049093574226,1.7400740621116564,10.66094919367388,7.968671933918545,13.441714595699706,0.38299217257986345,11.910104166666668,12.768791476030556,5.614895833333334,1.0763628078723158,0.00387463147802864,11.743646587120352,9729.537770273528,-0.6395295090871032,-6407.144429656269
CBP,CBP_2020-01-05,2020-01-05,2020-01-05,pool,1.616680632,1719.0229775,0.335839624,0.063489441,980.1850062,0.567252206,1.28732437863139,0.399006028702414,9.1,11.2,11.544316503979314,60.1,3450,18.3,66.04436851,0.037,0.2737,8.738,0.539,0.005,0.6420270540620054,0.24648478223249623,1.0286160099720356,2.795871999883562,3.7375084669192455,1.871780590413159,11.626631685047922,8.696424538729149,14.638226309006514,0.4166720897409332,10.895625,11.475442881442016,9.265208333333334,1.6971456651959609,0.00387463147802864,12.784172799351015,6079.785114132719,-1.846769244159932,-5195.580649021646
CBP,CBP_2020-01-29,2020-01-29,2020-01-29,pool,1.480184643,1832.4860835,0.7423650385,0.067822266,1071.831479,0.623594814,0.5228679279553178,0.3248551903972952,6.38,12.16,12.313026256777643,65.6,3450,18.3,66.04436851,0.037,0.2955,3.801,0.4099,0.005,0.594504206122112,0.20764507784874417,0.9769112218379148,1.4849039501801626,2.263281920563154,0.6994212123294732,7.165180549220873,4.790566196267668,9.461915090680405,0.32850698697169356,11.462708333333332,12.25411803630739,6.565625,0.5499084518620414,0.00387463147802864,6.624117487003362,3557.759628785798,0.5356538633649384,-4053.5088868743223
CBP,CBP_2020-02-12,2020-02-12,2020-02-12,pool,1.0109187225,1748.587455,0.494403073,0.058333469,873.3319036,0.502104946,2.4090873439783707,0.4603461956933138,12.492,10.272,10.66763663020041,56.22,3450,18.3,66.04436851,0.037,0.1737,6.638,0.4062,0.005,0.28198079546158744,0,0.6928281070107563,1.4154025798872665,2.1888110450744653,0.6334179786545533,8.792985852629782,6.192102419058511,11.7430212478922,0.4575553858014925,10.1578125,10.62946373533762,12.533541666666666,2.4141473931316746,0.00387463147802864,6.516509246385207,6004.491730298639,-0.05151770244585108,-3522.702591212986
CBP,CBP_2020-02-27,2020-02-27,2020-02-27,pool,0.9513622875,1088.4086765,0.567793767,0.061038314,931.3571389,0.537615565,0.4029130879089989,0.3060998916248997,10.4133,11.65,11.1232997980774,68.5,3450,18.3,66.04436851,0.037,0.097,3.97,0.211,0.005,0.9928743926197312,0.5119784707637902,1.4594367758785762,1.2594343556547156,2.0465598198044037,0.4588418919818686,7.016851081804765,4.640102176716041,9.67618982639317,0.30846923204259297,10.83375,11.113648530871576,10.383333333333333,0.4176169401959473,0.00387463147802864,4.589640701004667,810.3781721163468,0.1513738828519838,-1571.0764648977815
NHC,NHC_2019-11-11,2019-11-11,2019-11-11,run,9.598706763,4234.538944,0.4605107145,0.063485103,981.0013865,0.567838024,0.3253165794819162,0.35332287445556604,8.24,10.06,11.730161211873051,132,0,10,81.06622487,0.022,0.048003512,3.275,0.1147,0.005,0.28364420038969457,0,0.5746616824448596,4.069905520187036,6.54491814426201,1.4980180349490544,6.686762556171562,2.2284836047497003,11.102046722863165,0.3557769246648133,9.7091666666666665,11.745950732524443,8.262083333333333,0.3436207570951134,0.00230383472585434,44.04225420126956,15012.118953783998,-0.4794478776313047,-10247.004363309128
NHC,NHC_2019-11-20,2019-11-20,2019-11-20,run,4.1374781034999994,2421.7953005,0.0981252465,0.062698239,963.617264,0.55711081,0.7951779086781474,0.3960994519307542,9.26,10.41,11.473546614401524,129,0,10,81.06622487,0.022,5e-4,3.507,0.1062,0.005,0.28960677313220107,0,0.5964958160642119,1.7495171423293776,2.9507118875811487,0.5525418610555894,4.8778907461584735,1.1886184408694296,8.365675100259546,0.39784180859359,10.505208333333334,11.500753882740314,9.139895833333334,0.8247523504696368,0.00230383472585434,14.135280392336297,5057.851667315645,-1.5444483735128256,-3759.5704354085624
