gas,flux,pred,mean,se,p
N2O,FALSE,logQ,-0.3931915997144301,0.1035845404275748,3.9221294230461305e-4
N2O,FALSE,ER,-0.3850781900593387,0.0934834435930194,1.3954678747644367e-4
N2O,FALSE,slope_deg,-0.1656330971177802,0.09326120538973047,0.08169679010047601
N2O,FALSE,log_no3n,0.5953518268109619,0.10117704043823758,3.112212257323461e-7
N2O,TRUE,watertemp_C,0.2297727818819974,0.12129364886376104,0.06396957746382093
N2O,TRUE,ER,-0.40898893850027285,0.1058423127948992,3.219156358274244e-4
N2O,TRUE,slope_deg,-0.3093687703027792,0.10296575698478413,0.004148616101652166
N2O,TRUE,log_no3n,0.404283093975818,0.13048811184396406,0.003191244979461726
N2O,TRUE,doc_mgl,-0.3323248955889371,0.11581016690284808,0.006008355491089692
CO2,FALSE,logQ,-0.1888194416117827,0.0750734890722944,0.01515918799833611
CO2,FALSE,watertemp_C,-0.5810687556540699,0.07545134010505254,4.831807960158994e-10
CO2,FALSE,GPP,-0.21949190755002587,0.0809994173953869,0.009197862433899548
CO2,FALSE,DO.obs,-0.8199108758935343,0.062270784104034915,7.107920331585565e-18
CO2,FALSE,depth,0.20964085011512257,0.06278070221972114,0.0015933662210133317
CO2,TRUE,logQ,0.278773677164427,0.07936402881510561,9.513298614784953e-4
CO2,TRUE,watertemp_C,0.142146639081658,0.08067934313522104,0.08420404804809949
CO2,TRUE,GPP,-0.48632204282348146,0.09251411551053783,3.045288843293576e-6
CO2,TRUE,ER,0.5530720180368425,0.06749713460877736,8.34796404902135e-11
CO2,TRUE,slope_deg,-0.11767738793923156,0.06773709968702728,0.08849723280971307
CH4,FALSE,logQ,-0.42397017665733927,0.08048959877162838,2.9338670259430354e-6
CH4,FALSE,watertemp_C,-0.15520388734589172,0.09081426622417595,0.093647239514411
CH4,FALSE,GPP,-0.22754389749984436,0.10160735457926173,0.029605249970889615
CH4,FALSE,slope_deg,-0.34430306733196414,0.07166527889294944,1.4556405692709955e-5
CH4,FALSE,DO.obs,-0.622553508594296,0.07999743568834955,3.6176312809039905e-10
CH4,TRUE,logQ,-0.19210132690840578,0.10361085094920343,0.06963303493561657
CH4,TRUE,watertemp_C,0.2134974547077626,0.105328012212404,0.048013500221738316
CH4,TRUE,GPP,-0.25681800113224146,0.12077847327018876,0.038433136915455954
CH4,TRUE,ER,0.6672820094855729,0.08811845439123257,7.660603947118916e-10
CH4,TRUE,slope_deg,-0.3752549091752186,0.08843173216110851,9.517156367641335e-5
