logQ,watertemp_C,GPP,ER,slope_deg,DO.obs,log_no3n,doc_mgl,depth,rsq,adjr2,cp,bic,aicc,rsq_pred,model,delta_aicc,delta_rsqp,rel_likelihood,aic_weight,gas,flux
TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,0.576227040499304,0.5429899456365043,3.6670090385589376,-27.952458188715227,123.54714848266808,0.48358536599691027,3,0,0,1,0.3061731254306238,N2O,FALSE
FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,0.5706227836064726,0.5369461391834509,4.323838766625158,-27.216730976625534,124.28287569475772,0.4653540451970857,4,0.7357272120896425,-0.01823132079982459,0.6922115887267164,0.2119365855797563,N2O,FALSE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0.5500177501568102,0.5240572357427801,4.738788469385767,-28.61723317722378,124.39343947060895,0.4700786935684773,1,0.8462909879408755,-0.013506672428432953,0.6549833300537042,0.20053829326750044,N2O,FALSE
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,0.5470920976141185,0.5209627955533945,5.081680595992346,-28.254316126019347,124.75635652181337,0.4547984365053177,2,1.2092080391452953,-0.02878692949159256,0.5462907042425592,0.1672595323116409,N2O,FALSE
TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,0.5810782344789518,0.5391860579268469,5.098439737868155,-24.5718710987207,125.52143150097507,0.46278195140284195,8,1.9742830183069913,-0.020803414594068315,0.37264035911058746,0.11409246341047859,N2O,FALSE
FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,NA,0.5175390703825584,0.4692929774208142,10.911546368609677,-16.663788692189875,133.42951390750588,0.40438121164062135,3,0,0,1,0.3623400859816616,N2O,TRUE
TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,NA,0.48761044110290497,0.4474230247188191,12.317889169759901,-17.31876636382833,134.18084030755494,0.37902209653293084,1,0.7513264000490665,-0.02535911510769051,0.6868336196376986,0.2488673527946196,N2O,TRUE
FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,NA,0.482912204291545,0.44235629874578386,12.852621482119929,-16.807627217622674,134.6919794537606,0.3702096616569672,2,1.262465546254731,-0.034171549983654126,0.5319356406782697,0.19274160578007452,N2O,TRUE
TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,NA,0.5016282808559636,0.4517911089415598,12.722441309975352,-14.846797014510543,135.24650558518522,0.38549472556587117,6,1.81699167767934,-0.018886486074750186,0.4031301409216034,0.14607020992333314,N2O,TRUE
TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,0.43245805470561416,0.39971525016939957,16.595087253749227,-15.619267953976738,137.39140469385595,0.32762016285969897,5,3.961890786350068,-0.07676104878092238,0.13793876927776832,0.04998074552031116,N2O,TRUE
TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,FALSE,TRUE,0.8568588163837701,0.8425446980221472,7.60657949164996,-84.70762477041609,65.3856778292797,0.8151365358689071,1,0,0,1,0.6638562910328073,CO2,FALSE
FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,NA,FALSE,TRUE,0.8483040091584677,0.8331344100743144,10.690837480545447,-81.45699184168926,68.63631075800652,0.8031160895169576,4,3.250632928726816,-0.012020446351949543,0.19684936953553483,0.13067969235200663,CO2,FALSE
FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,FALSE,TRUE,0.8387489678948082,0.8261018281218521,12.135709068592924,-82.06164521608994,69.43796145529333,0.8005993244267327,3,4.052283626013633,-0.014537211442174458,0.13184321691074458,0.08752494897620079,CO2,FALSE
FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,TRUE,0.8295340872904112,0.8196995154033195,13.45794279897656,-82.97490918844316,70.03576345938956,0.7981224157351061,2,4.6500856301098565,-0.017014120133800992,0.09777925753744549,0.06491137524875022,CO2,FALSE
TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,TRUE,0.8358371163286152,0.8229615960406635,13.18551664683335,-81.05942599838714,70.44018067299616,0.8011245337739775,5,5.054502843716463,-0.014012002094929588,0.07987827050299723,0.05302769239023503,CO2,FALSE
TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,FALSE,NA,0.7925825169878109,0.771840768686592,5.913721109745232,-63.93710453111376,86.156198068582,0.7381221980972257,4,0,0,1,0.3445658803027373,CO2,TRUE
