sample,site,aicc,singular,vif,R2m,R2c,logQ,rmse,watertemp_C,GPP,ER,slope_mm,DO.obs,log_doc,depth,delta_aicc,rel_likelihood,aicc_weight,gas,flux,log_no3n
TRUE,NA,133.19421278827062,FALSE,1.6611469530041434,0.7572156968606265,0.9475551257504308,TRUE,0.16957695668060913,NA,TRUE,NA,TRUE,TRUE,NA,NA,0,1,0.3152095914489536,CH4,no,NA
TRUE,TRUE,135.29058502409168,FALSE,1.6271185870126903,0.7530693059410015,0.9472835867695187,TRUE,0.16962057759868523,NA,TRUE,NA,TRUE,TRUE,NA,NA,2.0963722358210646,0.3505730709519578,0.11050399446777164,CH4,no,NA
TRUE,NA,135.5308861190705,FALSE,1.3241962571428678,0.7474936183853969,0.9477094422968669,TRUE,0.16893561718964786,TRUE,NA,NA,TRUE,TRUE,NA,NA,2.3366733307998686,0.3108836149190683,0.09799349724681333,CH4,no,NA
TRUE,NA,135.72376812799797,FALSE,2.560302722674621,0.765518140859985,0.9478492353978155,TRUE,0.16958192118432064,TRUE,TRUE,NA,TRUE,TRUE,NA,NA,2.5295553397273522,0.2823020534178687,0.08898431492304706,CH4,no,NA
TRUE,NA,135.8267793552486,FALSE,1.6906438882299433,0.7662880368320714,0.9478495878878207,TRUE,0.16957517429910604,NA,TRUE,TRUE,TRUE,TRUE,NA,NA,2.632566566977971,0.2681300155424493,0.08451715265433703,CH4,no,NA
TRUE,TRUE,135.98452781215474,FALSE,1.2967802645319055,0.7400650330231301,0.9477894890180114,TRUE,0.16948245891821795,TRUE,NA,NA,TRUE,TRUE,NA,NA,2.7903150238841192,0.24779400277857289,0.07810704637933483,CH4,no,NA
TRUE,TRUE,136.0775692425354,FALSE,1.2845950849737189,0.6295757542261701,0.9415409188736817,TRUE,0.16930450927992782,TRUE,NA,NA,NA,TRUE,NA,NA,2.8833564542647707,0.2365304735496748,0.07455667393282052,CH4,no,NA
TRUE,TRUE,136.40090386788657,FALSE,1.616215451546433,0.756503787224554,0.9479867276119253,TRUE,0.17000101751319516,NA,TRUE,TRUE,TRUE,TRUE,NA,NA,3.2066910796159505,0.20122219377482853,0.06342716549022587,CH4,no,NA
TRUE,NA,136.92830034836538,FALSE,1.984140326780244,0.7623769448368765,0.9476827004313627,TRUE,0.16967963559037483,NA,TRUE,NA,TRUE,TRUE,NA,TRUE,3.734087560094764,0.15457995938504246,0.048725085843955074,CH4,no,NA
TRUE,TRUE,137.42680711189288,FALSE,2.502190917929073,0.7594619377840472,0.9475884693742627,TRUE,0.16974131975943724,TRUE,TRUE,NA,TRUE,TRUE,NA,NA,4.232594323622266,0.12047691010345109,0.03797547761274113,CH4,no,NA
TRUE,TRUE,185.78953173047447,FALSE,0,0.43159588959054845,0.9161243558874702,NA,0.23041973571637392,NA,NA,TRUE,NA,NA,NA,NA,0,1,0.19605960569518335,CH4,flux,NA
TRUE,TRUE,185.83145835961355,FALSE,1.0014997201723213,0.5638801680290552,0.9175520513533936,NA,0.2307567143248044,NA,NA,TRUE,TRUE,NA,NA,NA,0.04192662913908407,0.9792548882976221,0.1919923272747126,CH4,flux,NA
TRUE,TRUE,186.697454261918,FALSE,1.0895380482308257,0.4643485562310029,0.9157949675779009,NA,0.23114752513445483,TRUE,NA,TRUE,NA,NA,NA,NA,0.9079225314435462,0.6351073331936423,0.12451889332006495,CH4,flux,NA
TRUE,TRUE,187.32639776312317,FALSE,1.3581624724150339,0.46117781724456297,0.9148864226567559,NA,0.23085263160593972,NA,NA,TRUE,NA,TRUE,NA,NA,1.5368660326487031,0.46373917097782136,0.09092051900732287,CH4,flux,NA
TRUE,TRUE,187.39423704340726,FALSE,1.0975691038261364,0.5784949528494857,0.919203109022888,NA,0.23143825430407022,TRUE,NA,TRUE,TRUE,NA,NA,NA,1.6047053129327935,0.4482730899658481,0.08788824526246564,CH4,flux,NA
TRUE,TRUE,187.4776133989942,FALSE,1.0032546348054499,0.4713164525659877,0.9156596169936448,NA,0.23067306141475358,NA,NA,TRUE,NA,NA,TRUE,NA,1.688081668519743,0.42996957257149815,0.08429966485929445,CH4,flux,NA
TRUE,TRUE,188.2387173716463,FALSE,1.0235764829618743,0.5798318797954287,0.9190605909235914,NA,0.23097344298083877,NA,NA,TRUE,TRUE,NA,TRUE,NA,2.449185641171823,0.29387733676693006,0.05761747476927492,CH4,flux,NA
TRUE,TRUE,188.26675586560214,FALSE,1.3966076819720847,0.5692885812433555,0.9192170797690769,NA,0.23112067280308987,NA,NA,TRUE,TRUE,TRUE,NA,NA,2.4772241351276705,0.2897861425392163,0.05681535684216695,CH4,flux,NA
TRUE,TRUE,188.2912765659849,FALSE,1.0231478205897433,0.45868302437564895,0.9154883451609876,TRUE,0.23063553068941883,NA,NA,TRUE,NA,NA,NA,NA,2.5017448355104364,0.2862549539879795,0.05612303340717612,CH4,flux,NA
TRUE,NA,188.3771282623215,FALSE,1.0040090219531224,0.5560181265457003,0.906501588441812,NA,0.22891850034622552,NA,NA,TRUE,TRUE,NA,NA,NA,2.5875965318470264,0.2742272145845644,0.05376487956233813,CH4,flux,NA
TRUE,NA,216.02558340936963,FALSE,1.2439753203086952,0.4893357642784933,0.8661208761564195,TRUE,0.27657260579043197,NA,NA,TRUE,NA,NA,NA,NA,0,1,0.2969022017982787,N2O,no,TRUE
TRUE,NA,216.65020101538875,FALSE,1.3558406328408807,0.4838722519461803,0.865757282797443,NA,0.27670989697656645,NA,NA,TRUE,NA,NA,TRUE,NA,0.6246176060191146,0.7317555250264858,0.21725982655841905,N2O,no,TRUE
TRUE,NA,218.25419471354826,FALSE,1.2907903747299116,0.5070337019268903,0.8667670980054325,TRUE,0.2765974654337975,NA,NA,TRUE,TRUE,NA,NA,NA,2.228611304178628,0.3281430452537697,0.09742639264063643,N2O,no,TRUE
TRUE,TRUE,218.3139002411594,TRUE,1.2439753211054636,0.4893355064185248,0.8661211300447599,TRUE,0.27657250471750766,NA,NA,TRUE,NA,NA,NA,NA,2.288316831789757,0.3184918427063628,0.09456092935431017,N2O,no,TRUE
TRUE,NA,218.8533473181419,FALSE,1.648948252212985,0.5014816096820908,0.8670359589690451,NA,0.2767975038859393,NA,NA,TRUE,NA,TRUE,TRUE,NA,2.8277639087722832,0.2431973672536192,0.07220583380914415,N2O,no,TRUE
TRUE,TRUE,218.93851784707562,TRUE,1.355840632076981,0.4838722090489997,0.8657573249755066,NA,0.27670988021421344,NA,NA,TRUE,NA,NA,TRUE,NA,2.912934437705985,0.23305816558823672,0.06919548251021532,N2O,no,TRUE
TRUE,NA,219.7249376282941,FALSE,1.449009388500227,0.49522058298981414,0.8668006882156349,NA,0.2763306013551386,NA,NA,TRUE,TRUE,NA,TRUE,NA,3.6993542189244693,0.1572879449043374,0.04669913715842412,N2O,no,TRUE
TRUE,NA,219.7958669908857,FALSE,1.6875903078850019,0.49359274782993745,0.8674561731551688,TRUE,0.2761147393422174,NA,NA,TRUE,NA,TRUE,NA,NA,3.7702835815160824,0.151807532998162,0.04507199079671914,N2O,no,TRUE
TRUE,NA,220.5862889988121,FALSE,1.5213509658415147,0.4866881225093645,0.8671395844034043,TRUE,0.27595314841754015,TRUE,NA,TRUE,NA,NA,NA,NA,4.5607055894424775,0.10224812775195029,0.030357694259305724,N2O,no,TRUE
TRUE,TRUE,220.58874016882834,TRUE,1.290790374750218,0.5070336969622993,0.8667671027489257,TRUE,0.27659746349509085,NA,NA,TRUE,TRUE,NA,NA,NA,4.563156759458707,0.10212289073944832,0.03032051111454725,N2O,no,TRUE
TRUE,NA,236.5764048491779,FALSE,1.647030214161939,0.456765038885179,0.8251947407366428,NA,0.323593538765943,NA,NA,TRUE,NA,TRUE,TRUE,NA,0,1,0.3043042456061354,N2O,flux,TRUE
TRUE,NA,237.52204727575042,FALSE,1.8861298940617566,0.4851159859063172,0.8265883897950349,NA,0.3238854671276801,NA,NA,TRUE,TRUE,TRUE,TRUE,NA,0.9456424265725332,0.6232414885149852,0.18965503099299744,N2O,flux,TRUE
TRUE,TRUE,237.78274854502223,FALSE,1.703558678669073,0.4281500819024454,0.8203543269427431,NA,0.32430150857614765,NA,NA,TRUE,NA,TRUE,TRUE,NA,1.206343695844339,0.547073646822353,0.16647683338727348,N2O,flux,TRUE
TRUE,TRUE,239.4391106927186,FALSE,1.83639416748389,0.48064056879265393,0.8276572175186311,NA,0.32426048188420376,NA,NA,TRUE,TRUE,TRUE,TRUE,NA,2.8627058435407093,0.23898537490947866,0.07272426422272833,N2O,flux,TRUE
TRUE,NA,239.7728883288317,FALSE,1.651337887572168,0.4681131408337521,0.8267162663985914,NA,0.32333857845778535,NA,TRUE,TRUE,NA,TRUE,TRUE,NA,3.196483479653807,0.20225181686372454,0.06154608655318594,N2O,flux,TRUE
TRUE,NA,240.2056688587744,FALSE,1.8832347665703015,0.4623560437879401,0.8270766254770714,TRUE,0.3221931247770925,NA,NA,TRUE,TRUE,TRUE,NA,NA,3.629264009596511,0.16289784298629217,0.04957050522081033,N2O,flux,TRUE
TRUE,NA,240.31235591600202,FALSE,1.0042322538936967,0.33619811522784115,0.8233399376520365,NA,0.31852646604274837,NA,NA,TRUE,TRUE,NA,NA,NA,3.7359510668241285,0.15443599606734115,0.04699552927770434,N2O,flux,NA
TRUE,TRUE,240.3732336676398,FALSE,1.0024560251811139,0.3578075571259206,0.8361866644040284,NA,0.31964434470977604,NA,NA,TRUE,TRUE,NA,NA,NA,3.796828818461904,0.1498059619591145,0.04558659024126975,N2O,flux,NA
TRUE,NA,241.09993819034668,FALSE,2.249215086035741,0.452654627046073,0.8267912528079311,NA,0.32258714637852554,TRUE,NA,TRUE,NA,TRUE,TRUE,NA,4.523533341168786,0.10416629457247682,0.03169824568746403,N2O,flux,TRUE
TRUE,TRUE,241.11612916729874,FALSE,0,0.24217935186433365,0.8434552741362751,NA,0.31936320424390935,NA,NA,TRUE,NA,NA,NA,NA,4.539724318120847,0.10332642171258982,0.03144266881043105,N2O,flux,NA
TRUE,TRUE,62.32404493935266,FALSE,1.9831867059086365,0.7965801473056116,0.9800650390850304,NA,0.10134092907381147,TRUE,TRUE,NA,NA,TRUE,NA,NA,0,1,0.486608718927382,CO2,no,NA
TRUE,TRUE,64.56347651834315,FALSE,1.1458300699524395,0.7811788371275791,0.9802717505607349,NA,0.10092397950457077,TRUE,NA,NA,NA,TRUE,NA,NA,2.239431578990491,0.3263725399471339,0.15881572355675064,CO2,no,NA
TRUE,TRUE,66.41373725899702,FALSE,2.0049310727994394,0.7999664242263655,0.9806720716235265,NA,0.10131010027505359,TRUE,TRUE,NA,TRUE,TRUE,NA,NA,4.089692319644357,0.12940009537988986,0.06296721464188924,CO2,no,NA
TRUE,NA,66.58454511383715,FALSE,1.1765246872148993,0.8129052191019331,0.9801515951272287,NA,0.10078271838719807,TRUE,NA,NA,NA,TRUE,NA,TRUE,4.260500174484491,0.11880757787726218,0.057812803269719715,CO2,no,NA
TRUE,TRUE,66.65690783469948,FALSE,2.34629001268905,0.7986803564164301,0.9800912592089289,TRUE,0.10137673340363451,TRUE,TRUE,NA,NA,TRUE,NA,NA,4.332862895346821,0.11458579357804317,0.055758446220289026,CO2,no,NA
TRUE,TRUE,66.82048813972919,FALSE,1.9859010438075992,0.7962451502236851,0.9802056146030774,NA,0.10139860546475743,TRUE,TRUE,NA,NA,TRUE,TRUE,NA,4.4964432003765324,0.10558683329520413,0.051379473685378325,CO2,no,NA
TRUE,TRUE,67.56821171754714,FALSE,1.1818975498237743,0.8059559040422672,0.9800748158242679,NA,0.10087907653962358,TRUE,NA,NA,NA,TRUE,NA,TRUE,5.244166778194483,0.07265134402788619,0.0353527774457622,CO2,no,NA
TRUE,TRUE,67.64148879328725,FALSE,2.100893844297154,0.7921574989429438,0.9801830740395279,NA,0.10124179492505375,TRUE,TRUE,NA,NA,TRUE,NA,TRUE,5.317443853934591,0.07003767783408359,0.034080944687492114,CO2,no,NA
TRUE,TRUE,67.67555803860395,FALSE,2.831444470510797,0.7988402267625473,0.9800700927654982,NA,0.10121512671188133,TRUE,TRUE,TRUE,NA,TRUE,NA,NA,5.351513099251292,0.06885471667447292,0.033505305473073115,CO2,no,NA
TRUE,TRUE,68.36644720171378,FALSE,2.71862671611638,0.8279539555233554,0.9803225451912557,TRUE,0.10141960021030348,TRUE,TRUE,NA,NA,TRUE,NA,TRUE,6.042402262361122,0.048742636886050704,0.02371859209226369,CO2,no,NA
