,ID,site,date,Cl,SO4 (mg/L),Br,NO3-N,Na (mg/L),K (mg/L),Mg (mg/L),Ca (mg/L),DOC (mg/L),TDN (mg/L),NH4-N (mg/L),PO4-P (mg/L)
1,MudTrib_1-16-20,MT,1/16/2020,4.55187733,3.48627352,<0.01,0.24459458,4.15028072,1.4421928,2.04244125,5.76962856,6.592,0.2828,<0.01,<0.01
2,UEno_1-16-20,Ueno,1/16/2020,5.1991974,5.4967531,<0.01,0.00259869,4.86593768,1.0165534,1.07198475,5.76271374,5.781,0.5323,0.0316388,<0.01
3,Stony_1-16-20,Stony,1/16/2020,7.34360689,7.19582156,<0.01,0.19845488,5.09795432,1.0573642,2.33871125,7.87843912,5.387,0.139,<0.01,<0.01
4,UNHC_1-15-20,UNHC,1/15/2020,7.68696547,6.5276178,<0.01,0.11715306,5.29300352,1.0237384,2.29874925,7.7458003,8.022,0.4783,<0.01,<0.01
5,NHC_1-15-20,NHC,1/15/2020,5.86866036,4.87353964,<0.01,0.26892022,4.50851768,1.0529095,2.06001075,7.107751,7.641,0.4142,0.0104488,<0.01
6,ColeMill_1-15-20,ColeMill,1/15/2020,13.28767879,6.68958288,0.05523407,0.14142226,7.95016592,0.6514117,2.2127965,7.90526024,5.653,0.471,0.0140348,<0.01
7,MudTrib_2-27-20,MT,2/27/2020,7.84915495,6.87854214,<0.01,0.08585708,5.23214,0.7196692,2.34284525,7.9071461,5.094,0.286,<0.01,<0.01
8,NHC_2-27-20,NHC,2/27/2020,7.92219773,7.24589772,0.06057479,0.15194832,5.16862136,0.7061614,2.3636875,8.26839306,4.142,0.2184,<0.01,<0.01
9,UNHC_2-27-20,UNHC,2/27/2020,3.27938008,2.8755791,<0.01,0.28644484,2.98876784,1.348213,1.65108925,4.69657422,3.881,0.2735,<0.01,<0.01
10,UEno_2-26-20,Ueno,2/26/2020,4.91392796,4.23976324,0.04455263,0.02130528,4.39291784,0.7255609,0.98689325,0.36202978,7.032,0.6067,0.05811,0.0109848
11,Stony_2-26-20,Stony,2/26/2020,6.3983643,5.3109236,<0.01,0.33362868,4.69601,1.0132483,2.01074725,1.60753554,4.218,0.1178,<0.01,<0.01
12,ColeMill_2-26-20,ColeMill,2/26/2020,10.90602405,7.2846285,0.07793213,0.09130354,6.3677144,0.7451041,3.009625,2.822658,4.276,0.4991,<0.01,<0.01
13,UNHC_3-18-20,UNHC,3/18/2020,5.39934612,2.71596134,0.02786288,<0.001,5.3516204,0.7321711,1.098339,0.49760216,3.132,0.1951,<0.01,<0.01
14,Stony_3-18-20,Stony,3/18/2020,8.4832468,5.47054136,0.13133933,0.12358722,6.16939736,1.0059196,2.49132475,2.19215214,2.083,0.0555,<0.01,<0.01
15,ColeMill_3-18-20,ColeMill,3/18/2020,10.38293422,6.77369518,0.1733975,0.00348948,6.47555312,0.7731256,2.95054325,2.75078578,2.924,0.2484,<0.01,<0.01
16,NHC_3-18-20,NHC,3/18/2020,15.38981549,6.26080576,0.06791828,0.035403,9.2883464,0.6749785,2.570043,2.28791192,2.458,0.08684,<0.01,<0.01
17,MudTrib_3-18-20,MT,3/18/2020,15.34926812,6.23459402,0.06791828,0.03590649,9.30305168,0.6721045,2.56608125,2.2830925,3.242,0.124,<0.01,<0.01
18,UEno_3-18-20,Ueno,3/18/2020,4.2847248,2.71791744,<0.01,0.40231616,3.88946624,1.1596786,1.8407365,1.40071956,5.222,0.6219,0.013122,<0.01
19,Stony_11-20-19,Stony,11/20/2019,5.98541378,8.08741194,<0.01,<0.001,4.2630212,1.3361422,1.138301,0.54621544,3.681,0.1141,<0.01,<0.01
20,UNHC_11-20-19,UNHC,11/20/2019,4.44691428,5.83554962,<0.01,0.02316432,2.6250164,0.6435082,1.58632325,1.09122898,2.171,0.09697,0.00139252,<0.01
21,UEno_11-20-19,Ueno,11/20/2019,4.81529145,1.68157566,0.05256371,0.35073,4.50177776,1.4751001,2.2575815,1.90780636,4.854,0.6038,0.0151432,<0.01
22,MudTrib_11-20-19,MudTrib,11/20/2019,17.22508723,4.88762356,0.06190997,<0.001,10.077734,0.9567742,3.188076,3.03974144,2.596,0.07782,<0.01,<0.01
23,ColeMill_11-20-19,ColeMill,11/20/2019,12.7881697,9.77982966,0.09061634,0.00476757,9.32388416,2.4294118,3.10315675,2.93643822,3.89,0.234,<0.01,<0.01
24,NHC_11-20-19,NHC,11/20/2019,10.58106995,10.42768998,<0.01,<0.001,6.65099528,1.6433728,4.03089525,4.06502066,3.507,0.1062,<0.01,<0.01
25,UNHC_1-29-20,UNHC,1/29/2020,8.84040874,8.26972046,0.07259141,0.33684576,5.40002528,0.8260072,2.634809,2.36669896,3.872,0.4784,<0.01,<0.01
26,Stony_1-30-20,Stony,1/30/2020,5.77203684,4.9783866,0.05256371,0.08407922,5.28912296,0.840952,1.10092275,0.50074526,3.229,0.1651,<0.01,<0.01
27,UEno_1-30-20,Ueno,1/30/2020,4.60565292,3.27892692,<0.01,0.3879804,4.20542552,1.2986365,1.8517605,1.41413012,5.677,0.6674,0.0301392,<0.01
28,ColeMill_1-29-20,ColeMill,1/29/2020,6.36328076,5.71466264,<0.01,0.44557742,4.78465016,5.8648477,2.071207,1.68108408,4.232,0.6082,<0.01,<0.01
29,NHC_1-29-20,NHC,1/29/2020,8.72250504,7.80768964,0.05590166,0.26731168,5.45455736,0.7923814,2.410884,7.0742246,3.814,0.3827,<0.01,<0.01
30,MudTrib_1-30-20,MT,1/30/2020,15.04358121,5.98812542,0.07058864,0.10101122,9.06102728,0.6818761,2.4670375,7.96036926,4.667,0.2278,<0.01,<0.01
31,UNHC_2-12-20,UNHC,2/12/2020,4.92744375,5.38251686,<0.01,0.19134344,3.78632504,0.8027278,1.8682965,5.46935774,7.506,0.4227,<0.01,0.0136056
32,NHC_2-12-20,NHC,2/12/2020,5.50833515,5.75652318,<0.01,0.17528626,4.12454648,0.7801669,1.9344405,5.62169332,6.109,0.361,<0.01,0.0119312
33,MudTrib_12-19-20,MT,12/19/2020,10.56209033,5.29762212,<0.01,0.17353662,6.66243272,0.7476907,1.96561775,5.97434914,9.365,0.4335,0.0197724,<0.01
34,Stony_12-19-19,Stony,12/19/2020,5.74356741,6.58903934,<0.01,0.00279234,5.13696416,0.980341,1.212713,5.2397019,5.62,0.1361,<0.01,<0.01
35,UEno_12-19-19,Ueno,12/19/2020,4.70543971,2.87205812,<0.01,0.2331937,4.45112624,1.4097166,2.10961875,5.07898472,5.291,0.5406,0.0455916,<0.01
36,UNHC_12-19-19,UNHC,12/19/2020,10.28027173,9.4539434,<0.01,0.36458602,6.50292128,1.246186,2.828418,7.90756518,5.926,0.6053,<0.01,<0.01
37,MudTrib_12-19-19,MT,12/19/2020,17.77549621,5.50966336,<0.01,0.14791286,9.58694528,0.8627944,2.9348685,8.3670864,4.961,0.2818,<0.01,<0.01
