site,DateTime_UTC,date,time,watertemp_C,DO_mgL,spc_uscm,pH,NTU,waterdepth_cm,notes,air_temp,airpres_mmHg,DO_pctsat,depthtosensor_cm,sensoroffset_cm
UNHC,2016-07-13T17:00:00Z,7/13/2016,12:00:00,NA,NA,NA,NA,NA,45,NA,32.2,764.0131532,NA,NA,NA
UNHC,2016-07-15T19:00:00Z,7/15/2016,14:00:00,NA,NA,NA,NA,NA,40,NA,34.4,762.5580329,NA,NA,NA
UNHC,2016-07-21T21:00:00Z,7/21/2016,16:00:00,24.4,NA,NA,NA,NA,40,NA,32.2,764.5381966,NA,NA,NA
UNHC,2016-08-04T18:00:00Z,8/4/2016,13:00:00,24.3,NA,NA,NA,NA,44,NA,29.4,763.6381222,NA,NA,NA
UNHC,2016-08-24T17:15:00Z,8/24/2016,12:15:00,23.2,NA,NA,NA,NA,NA,NA,27.8,769.0385686,NA,NA,NA
UNHC,2016-09-09T17:30:00Z,9/9/2016,12:30:00,NA,NA,NA,NA,NA,NA,NA,33.85,762.4005199,NA,NA,NA
UNHC,2016-09-15T16:15:00Z,9/15/2016,11:15:00,21.9,NA,116.1,NA,NA,45,NA,29.975,765.0444885,NA,NA,NA
NHC,2016-09-15T18:00:00Z,9/15/2016,13:00:00,22.8,NA,89,NA,NA,98,NA,31.7,764.4631904,NA,NA,NA
NHC,2016-09-22T13:00:00Z,9/22/2016,8:00:00,20.8,NA,103,NA,NA,130,NA,22.8,763.2630912,NA,NA,NA
UNHC,2016-09-22T15:00:00Z,9/22/2016,10:00:00,20.8,NA,79.5,NA,NA,69,NA,23.9,763.6381222,NA,NA,NA
NHC,2016-10-06T13:30:00Z,10/6/2016,8:30:00,18.8,NA,99.6,6.923,NA,80,NA,17.8,767.6509539,NA,NA,NA
UNHC,2016-10-06T16:15:00Z,10/6/2016,11:15:00,18.2,NA,113,NA,NA,39.5,NA,20.725,767.2009167,NA,NA,NA
NHC,2016-10-11T14:00:00Z,10/11/2016,9:00:00,14.8,NA,59.8,NA,NA,103,NA,12.8,773.3889282,NA,NA,NA
NHC,2016-10-13T13:45:00Z,10/13/2016,8:45:00,14.4,NA,78.5,NA,NA,NA,NA,15.85,766.4883578,NA,NA,NA
UNHC,2016-10-13T14:45:00Z,10/13/2016,9:45:00,14,NA,85.8,NA,NA,48,NA,19.625,766.1508299,NA,NA,NA
