sample_name,site,date,time,cl_mgl,so4_mgl,br_mgl,no3n_mgl,na_mgl,mg_mgl,ca_mgl,nh4n_mgl,po4p_mgl,doc_mgl,tdn_mgl
MC751_1-5-20,mc751,2020-01-05,,6.97,8.44,<0.03,0.2197,5.89,3.3,10.57,<0.01,0.01176,7.062,0.4502
MC751_1-29-20,mc751,2020-01-29,,14.04,14.28,0.13,0.1504,9.81,5.77,15.12,0.0136505,<0.01,3.474,0.2757
MC751_2-27-20,mc751,2020-02-27,,14.34,11.87,0.13,0.1243,10.22,4.71,14.91,0.0118445,<0.01,4.254,0.298
MC751_12-12-19,mc751,2019-12-12,,8.17,10.14,<0.03,0.017,6.95,4.15,13.48,<0.01,<0.01,4.938,0.1942
MC751_2-12-20,mc751,2020-02-12,,6.61,8.41,<0.03,0.231,5.94,3.21,10.55,0.01436,0.0124008,7.143,0.4721
WBP_1-5-20,wbp,2020-01-05,,6.72,6.81,<0.03,0.322,4.99,2.62,8.01,<0.01,0.0101936,8.627,0.5894
WBP_12-12-19,wbp,2019-12-12,,12.7,11.17,0.1,0.13,7.47,4.15,13.82,<0.01,<0.01,4.265,0.2703
WBP_1-29-20,wbp,2020-01-29,,8.52,8.39,<0.03,0.3195,5.55,3.03,9.62,<0.01,<0.01,3.666,0.4342
WBP_2-12-20,wbp,2020-02-12,,4.94,5.45,<0.03,0.1793,3.98,2.25,6.97,<0.01,0.0158896,6.938,0.378
WBP_2-27-20,wbp,2020-02-27,,7.27,6.88,<0.03,0.1236,5.2,2.77,9.07,<0.01,<0.01,3.719,0.2316
WB_12-12-19,wb,2019-12-12,,12.47,11.08,0.1,0.1246,7.38,4.11,13.68,<0.01,<0.01,4.217,0.2713
WB_1-5-20,wb,2020-01-05,,6.68,6.77,<0.03,0.3117,4.98,2.62,8.03,<0.01,0.0112616,8.852,0.5999
WB_1-29-20,wb,2020-01-29,,8.44,8.35,0.07,0.3164,5.56,3.02,9.37,<0.01,<0.01,3.741,0.4241
CBP_12-12-19,cbp,2019-12-12,,14.41,11.29,0.1,0.0888,7.9,4.17,13.55,<0.01,<0.01,4.317,0.2295
CBP_1-5-20,cbp,2020-01-05,,6.91,6.7,<0.03,0.2737,5.04,2.53,7.26,<0.01,<0.01,8.738,0.539
CBP_1-29-20,cbp,2020-01-29,,8.83,8.36,0.08,0.2955,5.68,2.99,9.22,<0.01,<0.01,3.801,0.4099
WB_2-12-20,wb,2020-02-12,,4.93,5.46,<0.03,0.1806,3.99,2.25,6.95,<0.01,0.0177408,6.89,0.3998
WB_2-27-20,wb,2020-02-27,,7.71,7.22,<0.03,0.1271,5.54,2.87,8.93,<0.01,<0.01,3.914,0.2473
CBP_2-12-20,cbp,2020-02-12,,5.19,5.66,<0.03,0.1737,4.14,2.3,7.11,<0.01,0.0140384,6.638,0.4062
CBP_2-27-20,cbp,2020-02-27,,8.02,7.4,0.07,0.097,5.63,2.88,9.08,<0.01,<0.01,3.97,0.211
PM_12-12-20,pm,2019-12-12,,13.24,10.91,<0.03,0.0661,7.54,3.98,12.95,<0.01,<0.01,4.546,0.2113
PM_1-5-20,pm,2020-01-05,,7,6.85,<0.03,0.2463,5.09,2.58,7.98,0.005588,<0.01,8.767,0.5549
PM_1-29-20,pm,2020-01-29,,8.83,8.31,<0.03,0.3203,5.74,2.97,9.08,0.14465,0.011404,3.979,0.416
PM_2-12-20,pm,2020-02-12,,5.45,5.88,<0.03,0.1793,4.33,2.34,7.4,0.019907,0.0148216,6.063,0.3664
PM_2-27-20,pm,2020-02-27,,7.94,7.34,<0.03,0.0996,5.64,2.86,8.9,<0.01,<0.01,4.226,0.2314
UNHC_3-10-20,unhc,2020-03-10,,10.55,7.72,0.09,0.0921,6.66,3.5,11.58,<0.01,<0.01,2.425,0.1681
UNHC_3-20-20,unhc,2020-03-20,,10.93,7.25,0.1,0.0554,6.93,3.75,12.55,<0.01,<0.01,2.706,0.1458
MC751_7-30-20,mc751,2020-07-30,,4.76,4.12,0.07,0.1289,5.2,3.03,9.54,0.0269375,0.0184528,6.253,0.3865
MC751_na,mc751,,,10.48,4.13,0.1,0.045,8.19,4.05,13.37,0.0406115,<0.01,4.889,0.2802
NHC_3-11-20,nhc,2020-03-11,,10.1,7.5,0.09,0.004,6.75,3.47,10.87,<0.01,<0.01,2.328,0.0936
NHC_3-20-20,nhc,2020-03-20,,10.76,6.98,0.09,0.0015,7.12,3.79,12.12,<0.01,<0.01,2.381,0.09932
MC751_5-22-20,mc751,2020-05-22,,5.12,5.76,<0.03,0.1852,4.79,2.7,8.89,0.0180365,0.0178832,8.922,0.4839
